Version;Date_of_report;Date_of_statistics;Security_region_code;Security_region_name;Tested_with_result;Tested_positive
1;2021-06-15 09:00:00;2021-05-23;VR21;Brabant-Noord;1345;142
1;2021-06-15 09:00:00;2021-05-24;VR21;Brabant-Noord;1236;119
1;2021-06-15 09:00:00;2021-05-25;VR21;Brabant-Noord;1532;155
1;2021-06-15 09:00:00;2021-05-26;VR21;Brabant-Noord;1542;186
1;2021-06-15 09:00:00;2021-05-27;VR21;Brabant-Noord;1296;140
1;2021-06-15 09:00:00;2021-05-28;VR21;Brabant-Noord;1191;153
1;2021-06-15 09:00:00;2021-05-29;VR21;Brabant-Noord;995;86
1;2021-06-15 09:00:00;2021-05-30;VR21;Brabant-Noord;909;94
1;2021-06-15 09:00:00;2021-05-31;VR21;Brabant-Noord;1415;126
1;2021-06-15 09:00:00;2021-06-01;VR21;Brabant-Noord;1288;127
1;2021-06-15 09:00:00;2021-06-02;VR21;Brabant-Noord;1262;115
1;2021-06-15 09:00:00;2021-06-03;VR21;Brabant-Noord;1118;102
1;2021-06-15 09:00:00;2021-06-04;VR21;Brabant-Noord;934;85
1;2021-06-15 09:00:00;2021-06-05;VR21;Brabant-Noord;868;73
1;2021-06-15 09:00:00;2021-06-06;VR21;Brabant-Noord;814;82
1;2021-06-15 09:00:00;2021-06-07;VR21;Brabant-Noord;665;34
1;2021-06-15 09:00:00;2021-06-08;VR21;Brabant-Noord;1149;73
1;2021-06-15 09:00:00;2021-06-09;VR21;Brabant-Noord;1294;81
1;2021-06-15 09:00:00;2021-06-10;VR21;Brabant-Noord;961;53
1;2021-06-15 09:00:00;2021-06-11;VR21;Brabant-Noord;789;45
1;2021-06-15 09:00:00;2021-06-12;VR21;Brabant-Noord;751;49
1;2021-06-15 09:00:00;2021-06-13;VR21;Brabant-Noord;587;30
